Title,Abstract,Year,Authors,Source title,Author Keywords,Index Keywords,Cited by,Affiliations,DOI,Document Type,Language of Original Document
Toward a continuous learning educational model: insights from the experience of a Mexican private university,"The rapidly evolving and technology-driven labor market underscores the need for continuous education and lifelong learning to ensure individuals remain adaptable and professionally relevant. It demands institutions that effectively bridge the gap between education and the workforce by promptly and pertinently modifying its programs and curricula, led by educators who are highly experts in specific skills and knowledge, as well as with pedagogical knowledge. In this address, robust educational models become essential. The TEC21 Educational Model (TEC21), introduced in 2019 by Tecnologico de Monterrey, addresses these challenges by fostering disciplinary and transversal competencies critical for success in the professional and personal spheres. This study explores two key research questions: (1) How do students in international experiences perceive the implementation of TEC21’s four components—inspiring professors, flexibility, challenge-based learning (CBL), and memorable university experiences—at their home and host universities? (2) How does TEC21 align with the European Commission’s Industry 4.0 Curriculum Guidelines? Semi-structured interviews were conducted with 13 Mexican engineering undergraduates during their international study experiences using a cross-sectional qualitative design. The findings reveal that Inspiring Professors—characterized by continuous pedagogical training and deep expertise in industry, consulting, or research—stood out as pivotal in preparing students for complex, real-world contexts. Flexibility and accessibility enable students to balance diverse priorities through hybrid learning environments, a critical feature for lifelong learners. For CBL, the model’s emphasis on interdisciplinary, real-world projects fosters employability, although collaboration with socio-formative organizations was less evident at host universities. The Memorable University Experience component highlighted the transformative nature of internationalization despite limited engagement with extracurricular activities and student organizations at host institutions. This study demonstrates TEC21’s alignment with the European Commission’s Industry 4.0 Curriculum Guidelines, addressing key pillars such as collaboration, quality assurance, and curriculum content. This model can inspire continuous education institutions to bridge the gap between education and industry demands. It equips graduates with adaptability, interdisciplinary collaboration skills, and global readiness, positioning TEC21 as a cornerstone for lifelong learning and sustainable societal advancement in the Artificial Intelligence era. Copyright © 2025 Camacho-Zuñiga, Salas-Maxemín, Valle-Arce, Caratozzolo and Chans.",2025,Camacho-Zuñiga C.; Salas-Maxemín S.; Valle-Arce A.P.; Caratozzolo P.; Chans G.M.,Frontiers in Education,competency-based education; continuous education; educational innovation; educational models; higher education; lifelong learning; studying abroad experience; TEC21,Not Available,4,"Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico",10.3389/feduc.2025.1485034,Article,English
Addressing digital competence gaps in vocational education and training: evidence from a Spanish case study,"Purpose – To investigate how VET teachers in post-compulsory education integrate digital technologies into teaching, collaboration and assessment and to identify strategies for addressing digital competence gaps using the DigCompEdu/SELFIE for TEACHERS framework. Design/methodology/approach – A qualitative case study in a Spanish Vocational Education and Training (VET) centre. An online open-ended questionnaire collected accounts from 25 teachers representing five professional families. Grounded-theory coding in ATLAS.ti generated 105 initial codes (meaning units), which were then mapped to the DigCompEdu areas to identify themes and actionable areas for improvement. Findings – Teachers report a solid baseline of integration centred on the learning management systems, collaborative platforms and sector-specific software aligned with occupational standards. Assessment routines exist, but self- and peer-assessment are inconsistent without explicit scaffolding. VR/AI attract strong interest yet remain marginal in practice. Mapping to DigCompEdu shows strengths in Areas 1–3 and clear needs in Areas 4 and 6. Research limitations/implications – This single-centre study, grounded in teachers’ detailed accounts, offers in-depth insight rarely captured in VET research, enhancing transferability and providing a solid foundation for future multi-site and mixed-methods studies. Practical implications – Professional development aligned with DigCompEdu; stronger assessment literacy; investment in simulated/VR spaces and industry–centre partnerships for tool access and mentoring. Social implications – Strengthening teachers’ digital competence supports equitable access to future-relevant skills, enhancing employability and mobility through digital and green transitions. Originality/value – The study provides evidence grounded in teachers’ practice in post-compulsory VET, applying DigCompEdu in classroom settings and linking the results to policy and leadership actions. In doing so, it contributes to the Special Issue’s aim of foregrounding rigorous VET research and challenges its under-representation by placing teachers’ voices at the centre. © 2025 Emerald Publishing Limited",2025,Miguel Parra J.; Rodriguez Fernandez S.,Education and Training,DigCompEdu framework; Digital competence; Post-compulsory education; SELFIE for TEACHERS tool; Spain; Vocational education and training,Not Available,0,"Department of Developmental and Educational Psychology, Universidad Autónoma de Madrid, Madrid, Spain; Department of Ingeniería Mecánica y de Organización Industrial, Universidad Carlos III de Madrid Escuela Politécnica Superior, Leganes, Spain",10.1108/ET-08-2025-0660,Article,English
Modelling the impact of Artificial Intelligence on the labour market in Czechia,"This article describes an original model developed in the Technology Centre CAS for the estimation of the impact of Artificial Intelligence (AI) on the labour market in Czechia. On the contrary to the previous estimates, this model is based on the comparison of projected future technical capabilities of AI with a mix of capabilities needed in different job categories. Both the importance and the level of capabilities are taken into account in order to assess the impact of AI on jobs in three different time horizons. Based on the model calculations, it can be expected that on the five-year horizon the AI will be able to replace more than 50% of the required capabilities in 11 % of the occupations. On the thirty-year horizon, AI can replace over 50% of capabilities in the vast majority of the current professions. At the same time, new professions will continuously emerge, though they will place different demands on their performers and will require different skills and capabilities in comparison to current professions. The model and its results may be effectively used for efficient adaptation of education, lifelong learning and retraining to the changing nature of work, and related new demand for workers' capabilities.  © 2021 Martin Fatun et al., published by Sciendo.",2021,Fatun M.; Pazour M.,Central European Journal of Public Policy,Artificial Intelligence; economic impact; economic modelling; labour market,Not Available,5,"Technology Centre Cas, Prague, Czech Republic",10.2478/cejpp-2021-0006,Article,English
"ENHANCING NON-FORMAL LEARNING CERTIFICATE CLASSIFICATION WITH TEXT AUGMENTATION: A COMPARISON OF CHARACTER, TOKEN, AND SEMANTIC APPROACHES","Aim/Purpose The purpose of this paper is to address the gap in the recognition of prior learning (RPL) by automating the classification of non-formal learning certificates using deep learning techniques. This study aims to evaluate the effectiveness of different text augmentation strategies—character-level, token-level, and semantic-level—in improving the classification accuracy of these certificates, which are crucial for bridging the skills gap in the digital economy. Background Traditional education systems often overlook skills gained through non-formal learning, creating a gap between industry needs and academic qualifications. This paper addresses this by using BERT-based deep learning models to classify non-formal learning certificates, enhanced by text augmentation techniques to improve accuracy in mapping them to formal academic standards. Methodology This study employs a deep learning approach using Bidirectional Encoder Representations from Transformers (BERT) to classify non-formal learning certificates into seven core computer science courses. The research utilizes text augmentation techniques at character, token, and semantic levels to improve classification accuracy. A dataset of 525 certificates, collected through data gathering, was preprocessed using Optical Character Recognition (OCR) to extract text from PDF documents, followed by cleaning and augmentation before training the BERT model. Contribution This paper addresses the growing need for efficient Recognition of Prior Learning (RPL) in the context of rapidly advancing knowledge, particularly in the AI era, where non-formal learning is becoming increasingly important. We present a novel approach to automating the classification and validation of non-formal learning certificates using deep learning techniques. The study evaluates and compares character-level, token-level, and semantic-level text augmentation methods to improve the accuracy of certificate classification. What sets this research apart is the systematic assessment of which augmentation method best enhances model performance for RPL tasks, providing new insights into optimizing deep learning models for this purpose. The findings aim to reduce human error and improve the efficiency of RPL implementation, offering a scalable solution for better integrating or converting non-formal learning into formal educational systems. Findings The study found that token-level augmentations, particularly word insertion and word deletion, significantly improved classification accuracy, with validation accuracies exceeding 88%. Character-level augmentations also contributed to model performance, but with slightly lower accuracy. Semantic-level augmentation via back translation showed the least impact. These results demonstrate that token-level text augmentations offer the most effective strategy for enhancing the classification of non-formal learning certificates in the context of Recognition of Prior Learning (RPL). Recommendations Practitioners should focus on token-level text augmentation techniques, like for Practitioners word insertion and deletion, to improve the accuracy of machine learning models for classifying non-formal learning certificates, enabling better integration into formal education and employment pathways. Recommendations Researchers should explore combining multiple augmentation techniques (e.g., for Researchers token-level and semantic-level) and investigate advanced models like BERT-large or multilingual variants for improved classification accuracy. Additionally, examining the impact of different OCR tools and preprocessing strategies could further enhance non-formal learning certificate recognition. Impact on Society The findings of this study have significant implications for improving access to education and employment opportunities. By enhancing the recognition of prior learning through automated classification of non-formal learning certificates, this research supports a more inclusive and equitable education system. It can help individuals, particularly those with non-traditional educational backgrounds, gain recognition for their skills, ultimately bridging the skills gap in the workforce and promoting lifelong learning in the digital economy. Future Research Future research should focus on expanding the dataset to include multilingual certificates, which would enhance the model’s ability to generalize across different languages and cultural contexts. Additionally, researchers could investigate the use of hybrid models that combine BERT with other machine learning techniques to further improve classification accuracy. Exploring the integration of real-world data sources, such as employer-verified work experience and additional non-formal learning formats, could also provide a more comprehensive approach to recognizing prior learning. © 2025 Informing Science Institute. All rights reserved.",2025,Mas Diyasa I.G.S.; Puspaningrum E.Y.; Saputra D.; Wan Awang W.S.,"Interdisciplinary Journal of Information, Knowledge, and Management",BERT; document classification; non-formal learning; recognition of past learning (RPL); text augmentation,Classification (of information); Curricula; Deep learning; Information retrieval systems; Learning algorithms; Learning systems; Semantics; Text processing; Augmentation techniques; Bidirectional encoder representation from transformer; Character level; Classification accuracy; Document Classification; Learning techniques; Non-formal learning; Recognition of past learning; Semantic levels; Text augmentation; Optical character recognition,0,"School of Magister Information Technology, University of Pembangunan Nasional Veteran Jawa Timur, Surabaya, Indonesia; School of Informatics, University of Pembangunan Nasional Veteran Jawa Timur, Surabaya, Indonesia; School of Informatics and Computing, Universiti Sultan Zainal Abidin, Besut Campus, Besut, Malaysia",10.28945/5525,Article,English
Crowdsourcing in Kazakhstan's higher education in the system of dual education as predictor of universal competencies,"The rapid transformation of professional competencies and the emergence of new professions every 3-5 years have accentuated the quest for effective means to facilitate the process of predicting future universal competencies among university graduates. An empirical study was conducted in three stages: organizational, investigative, and analytical. The crowdsourcing process algorithm comprised information gathering, idea generation, filtering, and voting. The findings suggest the feasibility of applying crowdsourced forecasting in the educational sector, where a clear trend towards alignment with real sectors of the economy and constantly changing market business environment conditions is evident. Calculations revealed that consensus decision-making was achieved regarding competencies such as 3D modeling and computer graphics, multilingualism, emotional intelligence, project management competencies, legal literacy, neural networks and big data, intercultural communication, digital competencies, export potential of the agricultural sector, logistics outsourcing, systems thinking, virtual reality competencies, artificial intelligence proficiency, analytics, and critical thinking, as confirmed by the analysis of variance. Forecasts indicated a predominance of subject-specific competencies associated with the growing volatility of the Kazakhstani labor market. The formulated profile of future universal competency development serves as an additional guideline in the development of educational programs (EPs) in professional training directions. Modified crowdsourcing design and methodology for measuring results can be utilized or adapted for addressing other challenges facing the higher education system that require feedback. © 2025 Institute of Advanced Engineering and Science. All rights reserved.",2025,Tolegen M.; Baymuhambetova B.; Rovnyakova I.; Radchenko N.; Sakhariyeva S.; Anafia P.,International Journal of Evaluation and Research in Education,Crowdsourced forecasting; Future universal competencies; Higher professional education system; Professional training; Virtual reality,Not Available,1,"Department of Jurisprudence, Sarsen Amanzholov East Kazakhstan University, Ust-Kamenogorsk, Kazakhstan; Department of Pedagogical Education and Management, Sarsen Amanzholov East Kazakhstan University, Ust-Kamenogorsk, Kazakhstan; Center for Information Technology and Digitalization, Sarsen Amanzholov East Kazakhstan University, Ust-Kamenogorsk, Kazakhstan",10.11591/ijere.v14i6.32200,Article,English
Workforce readiness: industry insights on building future-ready talent for hospitality,"Purpose – This study considers industry perspectives toward developing a future-ready workforce for addressing the global challenges facing the hospitality industry using the framework of workforce readiness theory (WRT). It identifies crucial skill gaps in fresh graduates and entry-level workers in hospitality, reflecting the need for realignment between educational curricula and operational industry requirements. Design/methodology/approach – This study employs a qualitative research design using in-depth interviews with Indian hospitality managers. The interviews were analyzed to generate themes, sub-themes and codes. The integration of the WRT framework enhanced the theoretical understanding of talent development in the service-oriented industries. Findings – The findings highlight requirements of human-centric skills, personal effectiveness and strategic capabilities for future-ready hospitality talent. Findings also reveal a lack of proficiency in adopting artificial intelligence and emerging technologies among the fresh graduates. Research limitations/implications – This study focuses on the hospitality industry's skill development landscape, primarily within India, while drawing insights from global best practices. Future research could expand to longitudinal studies and comparative cultural studies to contextualize these Indian findings globally. Originality/value – There is a lack of research applying WRT specifically to hospitality workforce preparation. By aligning with WRT, the study provides a structured analysis of the variables that influence workforce preparedness in hospitality. © Emerald Publishing Limited",2026,Hussain S.; Soni G.; Shekhar; Sharma S.,Worldwide Hospitality and Tourism Themes,Future employment; Hospitality education; Hospitality employability; Skill gaps; Workforce readiness,Not Available,3,"Department of Tourism and Hospitality Management, Jamia Millia Islamia, New Delhi, India; Banarsidas Chandiwala Institute of Hotel Management and Catering Technology, New Delhi, India; Faculty of Management Studies, University of Delhi, New Delhi, India; The Suryaa, New Delhi, India",10.1108/WHATT-12-2025-0302,Article,English
Sustainable Human Resource Management and Career Quality in Public Utilities: Evidence from Jordan’s Electricity Sector,"This study investigates the impact of human resource management (HRM) practices—specifically planning, recruitment, training, and motivation—on dimensions of career quality (job security, promotion equity, and participatory decision-making) among employees of the Jordan Electricity Distribution Company (JEDCO). Utilizing a quantitative cross-sectional survey design, data were collected from 173 employees, allowing for an in-depth exploration of their perceptions and experiences regarding HRM practices. The findings reveal that both training and motivation significantly enhance career quality, with employees who receive advanced training reporting a stronger sense of job security and an increased likelihood to participate in decision-making processes. In contrast, the effects of recruitment and planning practices were found to be marginal due to perceived biases and strategies that fail to adequately address the long-term needs of the workforce. Despite moderate overall career quality scores, key areas for improvement were identified, particularly in job security and employee involvement. This study offers actionable recommendations for JEDCO, such as implementing AI-driven recruitment tools to mitigate nepotism and developing gamified training modules to enhance skill development. Furthermore, it underscores the importance of integrating HRM reforms into Jordan’s National Energy Strategy, thereby supporting Sustainable Development Goal 8. This research represents the first empirical examination linking HRM practices to career quality in Jordan’s energy sector, offering a framework applicable to public utilities in emerging economies (e.g., Lebanon’s EDL). This research extends Social Exchange Theory into non-Western hierarchical contexts, demonstrating how bureaucratic inertia and tribal affiliations weaken reciprocity dynamics—a novel boundary condition contrasting Western-centric SET models. © 2025 by the authors.",2025,Al-Oun S.; Al-Khasawneh Z.,Sustainability (Switzerland),career quality; electricity sector; employee well-being; Jordan; public utilities; SDG 8; social exchange theory; sustainable HRM,Jordan; artificial intelligence; boundary condition; electricity industry; human resource; nepotism; reciprocity; recruitment (employment); Sustainable Development Goal,6,"Department of Business Administration, School of Business, Al Al-Bayt University, Mafraq, 25113, Jordan",10.3390/su17114866,Article,English
Retrospective study of approaches to the definition of «human capital»,"The fourth industrial revolution, which is based on the origins of modern society, is based on the widespread use of artificial intelligence potential, digital technologies, learning machines, new materials, 3-D printers, systems that integrate the capabilities of virtual, physical and biological capital and much more. Fundamental changes in economic and social systems as a result of this revolution cause a change not only in the value chain, industrial and technological structure of the economy, but also, among other things, the professional structure of the functional labor market and the requirements for competencies and values, and hence the substantive aspects of human capital of the individual and the company, determine the need to revise the conditions and a new understanding of the ownership reproduction processes of human capital; formation of science-based program of education and comprehensive development of the individual, in order to ensure the growth of economic efficiency of noosphere management and reduce the risk of mass unemployment in connection with the automation of jobs. Despite the diversity of research issues related to the actualization of the place and role of man in the economy of a modern company, the specifics and content of the strategy and the mechanism of the employee's personality management, there is still no uniformity in understanding the essence and content, subject and object structure of human capital. In this regard, the present study is devoted to the realization of the potential of logical-epistemological analysis in the disclosure of the essence and definition of «human capital». © 2019, Institute of Advanced Scientific Research, Inc.. All rights reserved.",2019,Zainutdinova E.; Khaziakhmetova G.,Journal of Advanced Research in Dynamical and Control Systems,Exchange-communication; Human activity; Human capital; Human potential; Human resource; Institutional capital; Labor capital; Mental capital; Needs; Paradigm; Social capital; Transformation; «Human cloud»,Not Available,0,"Kazan Federal University, Institute of Management, Economics and Finance, Russian Federation; Kazan State Power Engineering University, Russian Federation",Not Available,Article,English
"Technical/Algorithm, Stakeholder, and Society (TASS) barriers to the application of artificial intelligence in medicine: A systematic review","Introduction: The use of artificial intelligence (AI), particularly machine learning and predictive analytics, has shown great promise in health care. Despite its strong potential, there has been limited use in health care settings. In this systematic review, we aim to determine the main barriers to successful implementation of AI in healthcare and discuss potential ways to overcome these challenges. Methods: We conducted a literature search in PubMed (1/1/2001–1/1/2023). The search was restricted to publications in the English language, and human study subjects. We excluded articles that did not discuss AI, machine learning, predictive analytics, and barriers to the use of these techniques in health care. Using grounded theory methodology, we abstracted concepts to identify major barriers to AI use in medicine. Results: We identified a total of 2,382 articles. After reviewing the 306 included papers, we developed 19 major themes, which we categorized into three levels: the Technical/Algorithm, Stakeholder, and Social levels (TASS). These themes included: Lack of Explainability, Need for Validation Protocols, Need for Standards for Interoperability, Need for Reporting Guidelines, Need for Standardization of Performance Metrics, Lack of Plan for Updating Algorithm, Job Loss, Skills Loss, Workflow Challenges, Loss of Patient Autonomy and Consent, Disturbing the Patient-Clinician Relationship, Lack of Trust in AI, Logistical Challenges, Lack of strategic plan, Lack of Cost-effectiveness Analysis and Proof of Efficacy, Privacy, Liability, Bias and Social Justice, and Education. Conclusion: We identified 19 major barriers to the use of AI in healthcare and categorized them into three levels: the Technical/Algorithm, Stakeholder, and Social levels (TASS). Future studies should expand on barriers in pediatric care and focus on developing clearly defined protocols to overcome these barriers. © 2023 Elsevier Inc.",2023,Li L.T.; Haley L.C.; Boyd A.K.; Bernstam E.V.,Journal of Biomedical Informatics,Artificial intelligence; Augmented intelligence; Barriers; Implementation; Machine learning; Predictive analytics,Abstracting and Indexing; Algorithms; Artificial Intelligence; Benchmarking; Child; Humans; Machine Learning; Cost effectiveness; Employment; Health care; Predictive analytics; Artificial intelligence in medicine; Augmented intelligence; Barrier; English languages; Implementation; Language study; Literature search; Machine-learning; Systematic Review; Three-level; algorithm; article; artificial intelligence; child; cost effectiveness analysis; drug efficacy; education; English (language); female; grounded theory; human; machine learning; male; Medline; patient autonomy; pediatrics; performance indicator; practice guideline; privacy; skill; social justice; standardization; systematic review; trust; workflow; benchmarking; documentation; machine learning; Machine learning,26,"Department of Surgery, Division of Pediatric Surgery, Icahn School of Medicine at Mount Sinai, 1 Gustave L. Levy Pl, New York, 10029, NY, United States; McWilliams School of Biomedical Informatics at UT Health Houston, 7000 Fannin St, Suite 600, Houston, 77030, TX, United States; McGovern Medical School at the University of Texas Health Science Center at Houston, 6431 Fannin St, Houston, 77030, TX, United States",10.1016/j.jbi.2023.104531,Article,English
Navigating AI-Induced Job Displacement and Skill Demands: Insights From an Emerging Market Perspective,"The rapid adoption of artificial intelligence (AI) is fundamentally transforming labor markets worldwide, presenting both opportunities and challenges. This study examines the impact of AI adoption on Cambodia′s labor market, focusing on job displacement, new employment opportunities, and evolving skill requirements for workers. To explore the dynamics between AI adoption, job displacement, and changing skill demands, this study employed PLS-SEM analysis on data from 351 respondents, revealing significant workforce reshaping. However, AI has also fostered employment growth in emerging industries. Findings indicate that AI-driven job displacement disproportionately affects low-skilled workers, underscoring the need for targeted policy interventions. This study further establishes that job displacement intensifies the demand for new skills, highlighting the need for reskilling and upskilling initiatives. In addition, investments in education and training are crucial for mitigating AI-induced employment disruptions and enhancing workforce adaptability. These findings contribute to the literature by providing empirical insights from a developing economy, where unique socioeconomic and institutional factors shape the impact of AI. The results have significant implications for policymakers, educators, and business leaders as they formulate strategies to navigate the future of work in the AI era. Copyright © 2026 Bora Ly et al. Human Behavior and Emerging Technologies published by John Wiley & Sons Ltd.",2026,Ly B.; Ly R.; Ma S.,Human Behavior and Emerging Technologies,AI adoption; job displacement; labor market; PLS-SEM; skill development; workforce transformation,Not Available,0,"Faculty of Business and Economics, Pannasastra University of Cambodia, Siem Reap, Cambodia; Faculty of Science and Technology, Cambodian Mekong University, Phnom Penh, Cambodia; Faculty of Finance & Accounting, ACLEDA University of Business, Phnom Penh, Cambodia",10.1155/hbe2/3424335,Article,English
